"principalsalesrep","customersoldto","customershipto","salesrepid"
"ALLREP","0030070570","0070090977","mymrni-christyc"
"ALLREP","0030070570","0070090977","mymrni-christyp"
"ALLREP","0030070570","0070090977","mymrni-cindygoh"
"ALLREP","0030070570","0070090977","mymrni-cindywee"
"ALLREP","0030070570","0070090977","mymrni-crystaltoh"
"ALLREP","0030070570","0070090977","mymrni-dannychin"
"ALLREP","0030070570","0070090977","mymrni-darwinyap"
"ALLREP","0030070570","0070090977","mymrni-dianawong"
"ALLREP","0030070570","0070090977","mymrni-diusinlau"
"ALLREP","0030070570","0070090977","mymrni-edwardhon"
"ALLREP","0030070570","0070090977","mymrni-eelingteoh"
"ALLREP","0030070570","0070090977","mymrni-eelinlim"
"ALLREP","0030070570","0070090977","mymrni-elamaran"
"ALLREP","0030070570","0070090977","mymrni-ericchan"
"ALLREP","0030070570","0070090977","mymrni-erinelyl"
"ALLREP","0030070570","0070090977","mymrni-estentan"
"ALLREP","0030070570","0070090977","mymrni-euguneliew"
"ALLREP","0030070570","0070090977","mymrni-euniceteng"
"ALLREP","0030070570","0070090977","mymrni-fennyng"
"ALLREP","0030070570","0070090977","mymrni-fionachong"
"ALLREP","0030070570","0070090977","mymrni-gallenng"
"ALLREP","0030070570","0070090977","mymrni-gavingoh"
"ALLREP","0030070570","0070090977","mymrni-gracekhew"
"ALLREP","0030070570","0070090977","mymrni-hafizatul"
"ALLREP","0030070570","0070090977","mymrni-hildachong"
"ALLREP","0030070570","0070090977","mymrni-huimtan"
"ALLREP","0030070570","0070090977","mymrni-hwlim"
"ALLREP","0030070570","0070090977","mymrni-inglinglaw"
"ALLREP","0030070570","0070090977","mymrni-jacksoong"
"ALLREP","0030070570","0070090977","mymrni-jacqiechew"
"ALLREP","0030070570","0070090977","mymrni-jasminekee"
"ALLREP","0030070570","0070090977","mymrni-jassicaooi"
"ALLREP","0030070570","0070090977","mymrni-jerryliew"
"ALLREP","0030070570","0070090977","mymrni-jeslynng"
"ALLREP","0030070570","0070090977","mymrni-jessicalee"
"ALLREP","0030070570","0070090977","mymrni-jessietee"
"ALLREP","0030070570","0070090977","mymrni-jessmiekoh"
"ALLREP","0030070570","0070090977","mymrni-jiayelim"
"ALLREP","0030070570","0070090977","mymrni-jiayingchia"
"ALLREP","0030070570","0070090977","mymrni-jieyvinlee"
